sequence,map,NIST_name,slope,intercept,adj.r.squared,p.value
MRF1500,T1,MnCl2-2,62.1486708682477,904.1982298580801,0.9916374688117148,4.788589068109573e-14
MRF1500,T1,MnCl2-3,53.055214187716246,781.0329190412533,0.99042835279313,1.0772349434279095e-13
MRF1500,T1,MnCl2-4,43.64334572597829,626.4489055532254,0.9930698037872728,1.5502674156523706e-14
MRF1500,T1,MnCl2-6,30.386676691340227,351.36127064207506,0.9831490698694869,3.216606109603519e-12
MRF1500,T1,MnCl2-7,21.32524973963096,268.4105705860322,0.9813103166179227,5.992207498146665e-12
MRF1500,T1,MnCl2-8,16.081226539588148,207.18519975495022,0.9915905062445186,4.952315508454472e-14
MRF1500,T1,NiCl2-1,27.451704924694404,1349.9093506299134,0.993994256094794,6.564091365722721e-15
MRF1500,T1,NiCl2-2,11.712821036054132,1068.1383624007703,0.9380733733314242,8.070898647818126e-9
MRF1500,T1,NiCl2-3,5.207474502652501,823.7237827416639,0.8813452627664922,4.091598811053115e-7
MRF1500,T1,NiCl2-4,3.3372739082289558,608.4547434945963,0.6961518914085314,1.2609954017676677e-4
MRF1500,T1,NiCl2-5,0.6178545532384833,476.97651474209215,0.01252445491747034,0.3016714041606485
MRF3000,T1,MnCl2-2,59.20112354165406,934.4982523591996,0.9915103758711696,5.242444355715279e-14
MRF3000,T1,MnCl2-3,50.22637478086955,807.2504336298588,0.9921228556714343,3.344336232888644e-14
MRF3000,T1,MnCl2-4,41.9333305301884,631.7789172823299,0.9914952934359167,5.298606478126233e-14
MRF3000,T1,MnCl2-6,28.613021039464957,374.02092861330755,0.9836648298125537,2.668743089170968e-12
MRF3000,T1,MnCl2-7,20.260044864040616,285.9959231883401,0.9922016810952904,3.148396596997838e-14
MRF3000,T1,MnCl2-8,15.673385491431493,211.22085241383138,0.9874186755377007,5.562503749649691e-13
MRF3000,T1,NiCl2-1,24.961395805926717,1363.3460825522748,0.9931182406937765,1.4863529101280288e-14
MRF3000,T1,NiCl2-2,11.003657222028481,1081.9958226279664,0.8858954600282741,3.2295060943417596e-7
MRF3000,T1,NiCl2-3,4.683994537395815,827.4189571962709,0.7554975542389064,3.321332109323454e-5
MRF3000,T1,NiCl2-4,2.720964882670742,613.8557848457868,0.585486640127729,8.650340379661487e-4
MRF3000,T1,NiCl2-5,0.4254464645383538,475.85449285080426,-0.014053855212439403,0.3830490154210441
VFA,T1,MnCl2-2,62.304036433141185,1236.64975835298,0.969943523057899,1.0413487348386773e-10
VFA,T1,MnCl2-3,54.30690609395871,997.172548972755,0.984750912016697,1.7653831328378805e-12
VFA,T1,MnCl2-4,37.94607155164657,830.5449963391028,0.9421382458346833,5.36133101627116e-9
VFA,T1,MnCl2-6,30.13022833820747,479.7721154525721,0.981129145170431,6.3497442331608246e-12
VFA,T1,MnCl2-7,24.064053804798785,350.13548565647426,0.9837382484874813,2.597502210944802e-12
VFA,T1,MnCl2-8,17.79530800584074,305.56266338326236,0.9884477338857389,3.3322431897870427e-13
VFA,T1,NiCl2-1,22.13469225585147,1411.842916716604,0.9458087565503266,3.61274140365727e-9
VFA,T1,NiCl2-2,10.042806801762564,1310.4260392159,0.8205655235344629,5.029377223058835e-6
VFA,T1,NiCl2-3,4.481834753430076,995.6891509614098,0.6397716174848935,3.6105195165233526e-4
VFA,T1,NiCl2-4,4.953053756870896,624.245555256161,0.8395165694333763,2.551982690828381e-6
VFA,T1,NiCl2-5,0.33637044530603555,535.7637695034198,-0.05162397780989547,0.5586829377810897
MRF1500,T2,MnCl2-2,5.627620965014988,234.50448335343557,0.8261485906987616,4.1497958507188265e-6
MRF1500,T2,MnCl2-3,3.1950541202996123,188.9881103162006,0.7209716769202443,7.465483562594917e-5
MRF1500,T2,MnCl2-4,2.024545699397403,156.68088955207116,0.5137705494476703,0.002357616242451517
MRF1500,T2,MnCl2-6,1.445078098950232,71.92909587137919,0.8139955458140354,6.25959639416601e-6
MRF1500,T2,MnCl2-7,1.4241214272398646,38.99470629387388,0.9259359708421889,2.374156506768636e-8
MRF1500,T2,MnCl2-8,0.9124323128709636,26.979773607576952,0.9555046085255442,1.102596428577394e-9
MRF1500,T2,NiCl2-5,-0.8226176747501137,332.1218889134245,0.08409110283083332,0.16436306316891575
MRF3000,T2,MnCl2-2,5.382234907269809,240.32263737517442,0.8193879919519264,5.2335439642625105e-6
MRF3000,T2,MnCl2-3,3.659135101392497,176.7101557818393,0.9194511416506289,3.939226493102988e-8
MRF3000,T2,MnCl2-4,2.660403264742534,139.61937681442376,0.606832992017326,6.219680941289121e-4
MRF3000,T2,MnCl2-6,1.5644453727820113,65.71629913079967,0.8846326346090664,3.451881191586313e-7
MRF3000,T2,MnCl2-7,1.409844867980695,36.90099967523705,0.9521302296937768,1.7119730365663029e-9
MRF3000,T2,MnCl2-8,0.8753186984664834,26.13673398061481,0.9698945864796537,1.0515839604848045e-10
MRF3000,T2,NiCl2-5,-0.6290950051485744,319.8807125533162,0.0023152408492718157,0.33014720908198225
MESE,T2,MnCl2-2,7.3335960448605135,254.01472085469263,0.9890143640858913,2.4636926902215244e-13
MESE,T2,MnCl2-3,5.237560292119066,174.2381707613655,0.9904628124086343,1.0541594790556331e-13
MESE,T2,MnCl2-4,3.447665698209497,119.17036649184257,0.9908014030595181,8.485067165311932e-14
MESE,T2,MnCl2-6,1.707808873247471,61.10125191652785,0.9905178896876741,1.0181337921811576e-13
MESE,T2,MnCl2-7,1.1779311070285825,42.09511519234964,0.9886196032642331,3.0454269612565487e-13
MESE,T2,MnCl2-8,0.8534551750662023,31.041585972651102,0.9875570589437738,5.20506770869391e-13
MESE,T2,NiCl2-5,-1.9652770173675416,428.9439003526082,0.4712174378916675,0.004015041565294618
